Displaying
Kapa:[10.000, 1.000]|q:[1.000, 100.000]|lambda:0.100000 | r:1000.000000 |gamma:0.000002
mesh:0.005000 | boundary condition:left_Dirichlet | continuation:0
 It.:   28 ||Obj.:1860.498425 ||Vol.:  0.200 ||ch.:131.000 || r.252.834288744 
 It.:   28 ||Obj.:1815.306886 ||Vol.:  0.200 ||ch.:127.000 || r.128.306670201 
 It.:   28 ||Obj.:1677.116501 ||Vol.:  0.200 ||ch.:120.000 || r.66.042860930 
 It.:   28 ||Obj.:1417.567340 ||Vol.:  0.200 ||ch.:104.000 || r.34.910956294 
 It.:   28 ||Obj.:1137.052721 ||Vol.:  0.200 ||ch.: 67.000 || r.19.345003976 
 It.:   28 ||Obj.:1013.720340 ||Vol.:  0.200 ||ch.: 29.000 || r.11.562027818 
 It.:   28 ||Obj.:998.051930 ||Vol.:  0.200 ||ch.: 21.000 || r.7.670539738 
 It.:   28 ||Obj.:992.212083 ||Vol.:  0.200 ||ch.:  9.000 || r.5.724795698 
 It.:   28 ||Obj.:991.791567 ||Vol.:  0.200 ||ch.:  8.000 || r.4.751923678 
 It.:   28 ||Obj.:991.509012 ||Vol.:  0.200 ||ch.:  7.000 || r.4.265487669 
 It.:   28 ||Obj.:991.718909 ||Vol.:  0.200 ||ch.:  7.000 || r.4.022269664 
 It.:   28 ||Obj.:991.771479 ||Vol.:  0.200 ||ch.:  7.000 || r.3.900660661 
 It.:   28 ||Obj.:991.786873 ||Vol.:  0.200 ||ch.:  7.000 || r.3.839856160 
 It.:   28 ||Obj.:991.793106 ||Vol.:  0.200 ||ch.:  7.000 || r.3.809453909 
 It.:   28 ||Obj.:991.805109 ||Vol.:  0.200 ||ch.:  7.000 || r.3.794252784 
 It.:   28 ||Obj.:991.805109 ||Vol.:  0.200 ||ch.:  7.000 || r.3.786652221 
 It.:   28 ||Obj.:991.805109 ||Vol.:  0.200 ||ch.:  7.000 || r.3.782851940 
 It.:   28 ||Obj.:991.805109 ||Vol.:  0.200 ||ch.:  7.000 || r.3.780951799 
 It.:   28 ||Obj.:991.805109 ||Vol.:  0.200 ||ch.:  7.000 || r.3.780001729 
Thermal dissipation energy: 1009.357598 
-----------------------------------------
-----------------------------------------
